id,isbn,title,published_date,description,price,copies_sold,author_id,publisher_id
71,9780765353702,The Road to Dune,8/29/2006,,90.24,21,26,63
72,9780441328000,Heretics of Dune (Dune Chronicles #5),8/15/1987,,40.59,11,27,80
73,9780618212903,The Lord of the Rings: The Art of the Fellowship of the Ring,6/12/2002,,69.98,26,28,8
74,9780345410054,The Power of One (The Power of One  #1),9/29/1996,,69.56,46,29,81
75,9780385732543,The Power of One (The Power of One  #1),9/13/2005,,75.39,21,39,82
76,9780785260059,The Power of One: One Person  One Rule  One Month,11/1/2004,,9.73,96,49,83
77,9780471780939,Power of an Hour: Business and Life Mastery in One Hour a Week,5/19/2006,,26,94,40,84
78,9780325001531,The Power of One: The Solo Play for Playwrights  Actors  and Directors,2/7/2000,,44.41,65,40,85
79,9780060762872,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,5/3/2005,,82.18,42,41,86
80,9780470045299,eBay for Dummies,10/30/2006,,23.86,37,41,87
81,9780072262780,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,1/24/2006,,68.04,18,20,88
82,9780764569241,Starting an eBay Business for Dummies,9/17/2004,,23.91,64,20,89
83,9780471933823,eBay: Top 100 Simplified Tips & Tricks,6/6/2006,,89.4,21,46,90
84,9780764559914,ebay Timesaving Techniques for Dummies,5/31/2004,,83.61,80,23,11
85,9780764584381,eBay Business All-in-One Desk Reference for Dummies,4/25/2005,,76.94,20,42,12
86,9780596523695,Ruby Cookbook,7/29/2006,,29.36,90,42,13
87,9780806523491,Ruby Ann's Down Home Trailer Park Cookbook,5/3/2005,,15.4,61,43,14
88,9780806525365,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,5/3/2005,,4.6,5,47,15
89,9780596527310,Rails Cookbook: Recipes for Rapid Web Development with Ruby,1/1/2007,,20.27,86,47,16
90,9780143035008,Anna Karenina,5/31/2004,,68.48,89,31,17
91,9780451528612,Anna Karenina,11/5/2002,,4.18,33,31,18
92,9780140449174,Anna Karenina,1/30/2003,,64.65,32,32,19
93,9780822001836,CliffsNotes on Tolstoy's Anna Karenina,11/26/1965,,95.71,21,33,20
94,9781593080273,Anna Karenina,7/1/2003,,50.38,66,34,41
95,9780486437965,Anna Karenina,11/23/2004,,43.68,25,35,42
96,9781593081775,Anna Karenina,8/26/2004,,29.44,86,36,43
97,9780778322276,Dinner with Anna Karenina,1/28/2006,,6.46,28,37,44
