id,isbn,title,published_date,description,price,copies_sold,author_id,publisher_id,genre,pages
45,9780374517199,The John McPhee Reader (John McPhee Reader  #1),6/1/1982,,33.8,65,15,43,Comedy,342
46,9780374280390,Uncommon Carriers,5/16/2006,,41.89,18,15,20,Drama,122
47,9780374519742,Heirs of General Practice,4/1/1986,,62.54,12,15,21,Drama|Mystery,123
48,9780374522599,The Control of Nature,9/1/1990,,6.9,24,15,22,Documentary,153
49,9780374518738,Annals of the Former World,1/6/1999,,49.11,28,16,23,Crime|Drama|Thriller,177
50,9780374522872,Coming Into the Country,4/1/1991,,70.4,62,16,24,Crime|Mystery,78
51,9780374519322,La Place de la Concorde Suisse,4/1/1994,,51.66,53,16,25,Comedy,345
52,9780374516000,Giving Good Weight,4/1/1994,,70.26,71,16,26,Drama,345
53,9780374520656,Rising from the Plains,11/1/1987,,58.11,26,17,27,Crime,856
54,9780822205104,The Heidi Chronicles,3/1/2002,,22.8,42,17,38,Drama,345
55,9780679734994,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,7/2/1991,,23.37,19,17,29,Action|Sci-Fi,356
56,9781596670235,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,3/29/2006,,8.63,87,17,30,Drama,345
57,9781581807745,Simply Beautiful Beaded Jewelry,3/14/2006,,65.77,95,18,31,Crime|Drama|Romance,123
58,9780800793616,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,9/1/2003,,44.22,79,18,50,Romance,432
59,9780871202864,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,1/28/1997,,24.2,70,18,51,Horror,234
60,9780753454947,Heidi (Heidi  #1-2),11/15/2002,,26.56,98,19,52,Mystery|Thriller,374
61,9780871209993,Getting Results with Curriculum Mapping,11/15/2004,,98.44,28,19,53,War,429
62,9781852402877,There's Always Enough: The Miraculous Move of God in Mozambique,4/28/2003,,83.46,90,20,54,Comedy,485
63,9780761129585,What to Expect the First Year (What to Expect),10/16/2003,,47,77,20,55,Animation|Children|Comedy,541
64,9780972016414,The Player's Handbook: The Ultimate Guide on Dating and Relationships,5/10/2004,,97.28,95,21,56,Romance,596
65,9781581805635,Simply Beautiful Beading: 53 Quick and Easy Projects,8/19/2004,,22.17,37,21,57,Drama|Horror|Thriller,652
66,9780441294671,God Emperor of Dune (Dune Chronicles  #4),6/15/1987,,60.09,20,22,58,Adventure|Children|Documentary|Drama,707
67,9780441102679,Chapterhouse: Dune (Dune Chronicles #6),7/1/1987,,25.32,1,22,59,Action|Crime|Drama,763
68,9780441172696,Dune Messiah (Dune Chronicles #2),7/15/1987,,63.98,14,23,60,Comedy,818
69,9780765306470,Dreamer of Dune: The Biography of Frank Herbert,7/1/2004,,19.79,69,25,61,Drama,874
70,9780399128981,Heretics of Dune (Dune Chronicles  #5),4/16/1984,,48.66,34,24,62,Drama,929
71,9780765353702,The Road to Dune,8/29/2006,,90.24,21,26,63,Action|Drama|Thriller,985
72,9780441328000,Heretics of Dune (Dune Chronicles #5),8/15/1987,,40.59,11,27,80,Comedy|Musical|Romance,234
73,9780618212903,The Lord of the Rings: The Art of the Fellowship of the Ring,6/12/2002,,69.98,26,28,8,Drama,543
74,9780345410054,The Power of One (The Power of One  #1),9/29/1996,,69.56,46,29,81,Drama|Fantasy|Romance,233
75,9780385732543,The Power of One (The Power of One  #1),9/13/2005,,75.39,21,39,82,Crime|Drama,23
76,9780785260059,The Power of One: One Person  One Rule  One Month,11/1/2004,,9.73,96,49,83,Documentary,53
77,9780471780939,Power of an Hour: Business and Life Mastery in One Hour a Week,5/19/2006,,26,94,40,84,Drama|Romance,234
78,9780325001531,The Power of One: The Solo Play for Playwrights  Actors  and Directors,2/7/2000,,44.41,65,40,85,Drama|Romance,543
79,9780060762872,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,5/3/2005,,82.18,42,41,86,Drama,467
80,9780470045299,eBay for Dummies,10/30/2006,,23.86,37,41,87,Drama,550
81,9780072262780,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,1/24/2006,,68.04,18,20,88,Documentary,633
82,9780764569241,Starting an eBay Business for Dummies,9/17/2004,,23.91,64,20,89,Comedy|Romance,716
83,9780471933823,eBay: Top 100 Simplified Tips & Tricks,6/6/2006,,89.4,21,46,90,Horror|Mystery|Sci-Fi,799
84,9780764559914,ebay Timesaving Techniques for Dummies,5/31/2004,,83.61,80,23,11,Horror|Sci-Fi,234
85,9780764584381,eBay Business All-in-One Desk Reference for Dummies,4/25/2005,,76.94,20,42,12,Documentary,34
86,9780596523695,Ruby Cookbook,7/29/2006,,29.36,90,42,13,Drama,345
87,9780806523491,Ruby Ann's Down Home Trailer Park Cookbook,5/3/2005,,15.4,61,43,14,Action|Horror|Thriller,315
88,9780806525365,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,5/3/2005,,4.6,5,47,15,Action|Adventure|Fantasy|Sci-Fi,371
89,9780596527310,Rails Cookbook: Recipes for Rapid Web Development with Ruby,1/1/2007,,20.27,86,47,16,Drama,426
90,9780143035008,Anna Karenina,5/31/2004,,68.48,89,31,17,Adventure|Comedy|Romance,482
91,9780451528612,Anna Karenina,11/5/2002,,4.18,33,31,18,Comedy,537
92,9780140449174,Anna Karenina,1/30/2003,,64.65,32,32,19,Comedy|Drama,593
93,9780822001836,CliffsNotes on Tolstoy's Anna Karenina,11/26/1965,,95.71,21,33,20,Animation|Children,648
94,9781593080273,Anna Karenina,7/1/2003,,50.38,66,34,41,Action|Comedy,704
95,9780486437965,Anna Karenina,11/23/2004,,43.68,25,35,42,Comedy|Drama,759
96,9781593081775,Anna Karenina,8/26/2004,,29.44,86,36,43,Drama|Romance,815
97,9780778322276,Dinner with Anna Karenina,1/28/2006,,6.46,28,37,44,Action|War,870
